visit_id,site_nr,sitename,element_type,visited,result,element_text,element_css,iframe_css,location_x,location_y,text_color,background_color,width,height,font_size
153321875314,16504,fansided.com,0,1,Normal visit,"Met je akkoord gebruiken wij en onze 311 partners cookies of vergelijkbare technologieën om persoonlijke gegevens zoals je bezoek aan deze website, IP-adressen en cookie-identificatoren op te slaan, te openen en te verwerken. Sommige partners vragen je toestemming niet om je gegevens te verwerken en vertrouwen op hun rechtmatige zakelijke belangen. Je kunt je toestemming te allen tijde intrekken of bezwaar maken tegen gegevensverwerking op basis van rechtmatig belang door op 'Meer informatie' te klikken of in ons privacybeleid op deze website. Onze partners en wij verwerken als volgt gegevens: Beperkte gegevens gebruiken om advertenties te selecteren, Beperkte gegevens gebruiken om content te selecteren, Contentprestaties meten, De apparaatkenmerken actief scannen ter identificatie, De prestaties van advertenties meten, Diensten ontwikkelen en verbeteren, Informatie op een apparaat opslaan en/of openen, Opslag en toegang tot geolocatie-informatie om marketingonderzoek uit te voeren, Opslag en toegang tot ",,,678,222,"rgba(51, 51, 51, 1)","rgba(0, 0, 0, 0)",548,488.234,488.234
153321875314,16504,fansided.com,1,1,Normal visit,Akkoord en sluiten,button.didomi-components-button.didomi-button.didomi-dismiss-button.didomi-components-button--color.didomi-button-highlight.highlight-button,,957,671,"rgba(255, 255, 255, 1)","rgba(5, 104, 123, 1)",200,40,40
209937362770,16504,fansided.com,3,1,Normal visit,Beperkte gegevens gebruiken om advertenties te selecteren,span,,678,451,"rgba(82, 110, 122, 1)","rgba(0, 0, 0, 0)",auto,auto,auto
296164256887,17843,my2n.com,0,1,Normal visit,"This website uses cookies to improve site navigation, perform analytics and research, and conduct advertising. You can change your preferences below. You can revoke your consent at any time without any future consequences. Cookies policy ACCEPT ALL SETTINGS",,,1585,646,"rgba(0, 0, 0, 0.87)","rgba(0, 0, 0, 0)",284,268.5,268.5
296164256887,17843,my2n.com,1,1,Normal visit,ACCEPT ALL,button.MuiButtonBase-root.MuiButton-root.MuiButton-contained.MuiButton-containedPrimary.MuiButton-sizeMedium.MuiButton-containedSizeMedium.MuiButton-root.MuiButton-contained.MuiButton-containedPrimary.MuiButton-sizeMedium.MuiButton-containedSizeMedium.css-mhdp3w,,1601,878,"rgba(255, 255, 255, 1)","rgba(0, 121, 199, 1)",116.406,36.5,36.5
437156900062,17843,my2n.com,3,1,Normal visit,SETTINGS,button.MuiButtonBase-root.MuiButton-root.MuiButton-text.MuiButton-textPrimary.MuiButton-sizeMedium.MuiButton-textSizeMedium.MuiButton-root.MuiButton-text.MuiButton-textPrimary.MuiButton-sizeMedium.MuiButton-textSizeMedium.css-z58g73,,1733,878,"rgba(0, 121, 199, 1)","rgba(0, 0, 0, 0)",84.8125,36.5,36.5
469050156100,19030,gx.me,0,1,Normal visit,Cookies We are always working to improve your experience on our website. Part of this involves using cookies to collect anonymous data for statistics and personalization. Further information can be found in our Privacy Statement and Cookies Policy. Accept selection Manage cookies,,,694,292,"rgba(255, 255, 255, 1)","rgba(0, 0, 0, 0)",500,350,350
10284647725,19030,gx.me,3,1,Normal visit,Manage cookies,button.gxbtn-md.gxbtn-secondary,,718,570,"rgba(255, 255, 255, 1)","rgba(74, 62, 101, 1)",452,47,47
503274070193,19030,gx.me,4,1,Normal visit,Accept selection,button.gxbtn-md.gxbtn-primary,,718,500,"rgba(255, 255, 255, 1)","rgba(200, 24, 62, 1)",452,47,47
40266185140,19137,moe.edu.cn,0,1,Message: unknown error: net::ERR_CONNECTION_TIMED_OUT   (Session info: chrome=134.0.6998.119) Stacktrace: 	GetHandleVerifier [0x00007FF715244C25+3179557] 	(No symbol) [0x00007FF714EA88A0] 	(No symbol) [0x00007FF714D391CA] 	(No symbol) [0x00007FF714D35B57] 	(No symbol) [0x00007FF714D268E9] 	(No symbol) [0x00007FF714D28658] 	(No symbol) [0x00007FF714D26BF6] 	(No symbol) [0x00007FF714D26676] 	(No symbol) [0x00007FF714D2633A] 	(No symbol) [0x00007FF714D23EC2] 	(No symbol) [0x00007FF714D247AC] 	(No symbol) [0x00007FF714D3D01A] 	(No symbol) [0x00007FF714DE11AE] 	(No symbol) [0x00007FF714DB7C2A] 	(No symbol) [0x00007FF714DE02F3] 	(No symbol) [0x00007FF714DB7A03] 	(No symbol) [0x00007FF714D806D0] 	(No symbol) [0x00007FF714D81983] 	GetHandleVerifier [0x00007FF7152A67CD+3579853] 	GetHandleVerifier [0x00007FF7152BD1D2+3672530] 	GetHandleVerifier [0x00007FF7152B2153+3627347] 	GetHandleVerifier [0x00007FF71501092A+868650] 	(No symbol) [0x00007FF714EB2FFF] 	(No symbol) [0x00007FF714EAF4A4] 	(No symbol) [0x00007FF714EAF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
802179668141,19414,xmcsrv.net,0,1,° Timeout during session,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
784487989725,19862,mercadoshops.com.br,0,1,Normal visit,Usamos cookies para melhorar sua experiência no Mercado Livre. Consulte mais informações na nossa Central de privacidade. Aceitar cookies Configurar cookies,,,336,868,"rgba(0, 0, 0, 0.9)","rgba(0, 0, 0, 0)",1216,65,65
784487989725,19862,mercadoshops.com.br,1,1,Normal visit,Aceitar cookies,button.cookie-consent-banner-opt-out__action.cookie-consent-banner-opt-out__action--primary.cookie-consent-banner-opt-out__action--key-accept,,1272,884,"rgba(52, 131, 250, 1)","rgba(65, 137, 230, 0.15)",117.266,33,33
905720496113,19862,mercadoshops.com.br,3,1,Normal visit,Configurar cookies,button.cookie-consent-banner-opt-out__action.cookie-consent-banner-opt-out__action--key-customize,,1398,884,"rgba(52, 131, 250, 1)","rgba(65, 137, 230, 0.15)",137.781,33,33
658011287854,20876,uni-konstanz.de,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246302709927,21162,mahadiscom.in,0,1,# Skipped unreadable,"महाराष्ट्र राज्य  विद्युत  वितरण कंपनी मर्यादित मुख्य विषयाकडे जा | दिशादर्शकाकडे जा | English मिस्ड कॉल सेवा राष्ट्रीय टोल-फ्री महावितरण टोल-फ्री ०२२५०८९७१०० १९१२/१९१२० १८००-२३३-३४३५ १८००-२१२-३४३५ मुख्य पृष्ठ महावितरण विषयी वीज नियोजन नियमन आणि धोरणे माहितीचा अधिकार >>Demand Catered on 14/03/2025 : 23516 MW>>Maximum Demand Catered During the Month Mar-25 [13/03/2025] : 26510 MW ग्राहक पुरवठादार कर्मचारी सुविधा बातम्या व ताज्या घोषणा Unemployed Civil Engineers Lottery Meeting dtd 27.03.2025 @ 11.00 Hrs for works under Civi... -- March 22, 2025 जलद बिल भरणा Consumer No.    I agree    सावधान! बनावट एसएमएस कडे दुर्लक्ष करा. अज्ञात स्त्रोतांकडून आलेल्या एसएमएस/कॉल/व्हाट्सअँप संदेशांना प्रतिसाद देऊ नका. महावितरण तुम्हाला कोणत्याही व्यक्तीशी संपर्क साधण्यास सांगत नाही महावितरण केवळ VM-MSEDCL / VK-MSEDCL / AM-MSEDCL / JM-MSEDCL सारख्या SENDER ID वरून एसएमएस पाठवते आणि कोणत्याही वैयक्तिक मोबाइल नंबरवरून एसएमएस पाठवत नाही. (SENDER ID मधील पहिली 2 अक्षरे ऑपरेटर आणि स्थान दर्शवितात जिथून संदेश पाठवला जात आहे आणि तो ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
435160925130,21331,chatbro.com,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
